step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrg,nameDest,oldbalanceDest,newbalanceDest,isFraud
68,CASH_OUT,406229.24,C6140660731,1810730.08,1404500.84,C5635849557,268905.29,675134.53,0
159,PAYMENT,275190.13,C7046563598,591089.0,315898.87,M5746858661,0.0,0.0,0
17,CASH_IN,480273.31,C3203400778,4342340.76,4822614.069999999,C4017690314,501603.17,981876.48,0
397,CASH_IN,116586.89,C3050380831,3415205.16,3531792.0500000003,C5788899583,3854001.97,3970588.8600000003,0
465,PAYMENT,486216.62,C9397905510,66754.93,0.0,M3142576995,0.0,0.0,0
334,CASH_IN,190705.32,C5391939651,2630306.04,2821011.36,C2980361905,3580060.58,3770765.9,0
204,CASH_IN,29738.14,C5489312393,4766767.4,4796505.54,C1321047948,2331039.68,2360777.8200000003,1
8,CASH_IN,62014.45,C5059811817,4601863.04,4663877.49,C3260699309,1835103.53,1897117.98,1
212,PAYMENT,103471.12,C4642803895,3434532.62,3331061.5,M2369308156,0.0,0.0,0
284,PAYMENT,140275.71,C7088980367,2499955.52,2359679.81,M7201501230,0.0,0.0,0
105,PAYMENT,113781.16,C7897305349,3349518.26,3235737.0999999996,M8413310698,0.0,0.0,0
109,CASH_OUT,250224.06,C2802646838,4355866.48,4105642.4200000004,C6734027309,4560772.05,4810996.109999999,0
280,CASH_IN,178356.1,C1918070137,1543776.43,1722132.53,C8248785946,4872341.39,5050697.489999999,1
425,PAYMENT,388155.27,C3322728219,3971560.83,3583405.56,M7682224496,0.0,0.0,0
19,CASH_OUT,10844.93,C2730440447,2420570.89,2409725.96,C3663889060,775866.83,786711.76,0
374,PAYMENT,172963.78,C7048107261,4530099.04,4357135.26,M5179683718,0.0,0.0,0
272,PAYMENT,282444.58,C8553670524,4137129.17,3854684.59,M2284313977,0.0,0.0,0
5,CASH_IN,72665.07,C9336916014,4884204.33,4956869.4,C3672139966,2099454.66,2172119.73,0
440,CASH_OUT,355078.46,C1008167565,355257.2,178.7399999999907,C7763955559,2753857.16,3108935.62,1
150,PAYMENT,319384.67,C5065283717,1686473.62,1367088.9500000002,M9465258513,0.0,0.0,0
308,CASH_OUT,289039.61,C8421064974,3863251.18,3574211.5700000003,C7156417661,3461279.58,3750319.19,0
105,CASH_OUT,275737.58,C1902062434,2635867.4,2360129.82,C3857326606,3338017.69,3613755.27,0
449,CASH_OUT,24939.47,C2573334424,4272553.12,4247613.65,C3632182202,3629254.16,3654193.6300000004,0
102,CASH_IN,431875.69,C6498712493,4686769.13,5118644.82,C5132357440,483000.51,914876.2,1
388,CASH_OUT,382194.5,C2271095133,733906.0,351711.5,C3095680949,3558161.09,3940355.59,1
234,CASH_OUT,53458.88,C9892722957,4591070.63,4537611.75,C5553738855,835809.33,889268.21,0
174,CASH_IN,128265.13,C3943845512,3335709.1,3463974.23,C1798676633,1920460.08,2048725.21,0
464,CASH_IN,294552.25,C5363071361,2266820.83,2561373.08,C9822459550,190475.28,485027.53,0
351,CASH_OUT,482352.22,C9810843759,4050949.07,3568596.8499999996,C1443696568,701448.97,1183801.19,1
216,CASH_IN,276344.01,C5686381550,1066849.63,1343193.64,C5602044699,2189439.3,2465783.3099999996,0
331,CASH_OUT,290098.05,C1354483298,3881869.04,3591770.99,C2262592863,3384866.44,3674964.4899999998,1
86,CASH_OUT,397983.62,C4322839653,2172361.09,1774377.4699999997,C2084745398,84050.4,482034.02,0
312,CASH_IN,122283.84,C6030547603,3498389.79,3620673.63,C5977244839,3193142.09,3315425.9299999997,1
421,CASH_IN,207554.24,C2993806878,933368.35,1140922.5899999999,C1898551525,1509730.96,1717285.2,0
104,CASH_IN,342871.48,C2635737229,4562558.15,4905429.630000001,C6613308208,4044763.75,4387635.23,1
312,CASH_IN,101957.2,C6340813717,2725581.27,2827538.47,C6686202800,1088852.34,1190809.54,1
140,CASH_OUT,486101.8,C1024989991,114514.31,0.0,C9008570771,1693960.35,2180062.15,0
236,CASH_IN,359637.59,C5823680314,189414.09,549051.68,C9145494614,2453854.72,2813492.31,0
295,CASH_OUT,265934.04,C2248242042,3934028.3,3668094.26,C4942616669,1419552.29,1685486.33,1
195,CASH_IN,46106.13,C6248573954,108738.7,154844.83,C1234566008,3567890.97,3613997.1,0
165,PAYMENT,53541.04,C1724476130,3123287.99,3069746.95,M1947411734,0.0,0.0,0
205,CASH_OUT,377549.76,C6470296214,1828040.38,1450490.6199999999,C7124239170,824561.71,1202111.47,1
306,CASH_IN,253045.51,C4239645628,884548.82,1137594.33,C3501210776,1174348.78,1427394.29,0
14,CASH_OUT,278485.45,C1162733070,1893436.05,1614950.6,C1930638287,1247554.27,1526039.72,0
37,CASH_OUT,428418.17,C3425002514,3877530.89,3449112.72,C8448155603,2198582.94,2627001.11,0
48,CASH_OUT,7583.21,C9788728464,4425196.61,4417613.4,C7515157476,1212400.55,1219983.76,0
21,PAYMENT,175750.56,C3131564911,507374.62,331624.06,M6482374945,0.0,0.0,0
28,CASH_OUT,171386.85,C9845640633,4566611.46,4395224.61,C7513297619,3053674.08,3225060.93,1
463,CASH_OUT,351720.22,C4783613817,3877067.87,3525347.6500000004,C5721820802,4773932.23,5125652.45,0
345,CASH_IN,21906.93,C1295750862,3106267.32,3128174.25,C2965866838,780386.69,802293.62,0
414,PAYMENT,48153.46,C4526895768,3404103.55,3355950.09,M1161530159,0.0,0.0,0
226,CASH_OUT,437194.15,C5693260065,2025011.56,1587817.4100000001,C6775788763,1565761.46,2002955.6099999999,0
203,PAYMENT,75174.93,C5114517495,666273.49,591098.56,M2182429463,0.0,0.0,0
499,CASH_IN,253979.16,C2085712427,4670326.04,4924305.2,C9229158041,4582047.19,4836026.350000001,0
444,PAYMENT,95460.87,C9441708691,3752878.93,3657418.06,M9010148111,0.0,0.0,0
269,PAYMENT,379704.95,C7775299570,899466.98,519762.02999999997,M3258256624,0.0,0.0,0
108,CASH_IN,2012.79,C9603811479,48448.32,50461.11,C2449618429,1483321.51,1485334.3,0
490,PAYMENT,159214.79,C2595375784,50231.15,0.0,M9057650145,0.0,0.0,0
437,CASH_OUT,432246.84,C9352615482,4735664.41,4303417.57,C6370985152,2076241.15,2508487.9899999998,0
405,CASH_OUT,221782.72,C6531494296,597956.8,376174.0800000001,C3520252333,1509572.26,1731354.98,0
328,CASH_OUT,112262.54,C4238851683,2271846.49,2159583.95,C6052344579,267570.95,379833.49,1
400,CASH_OUT,47234.78,C3434708821,2455573.97,2408339.1900000004,C2676652045,836261.9,883496.68,1
